INGREDIENTES;UND;PRECIO / UNID;RENDIMIENTO
abadejo fresco;kg;10.50 А;100.00%
ABDEJO FILETE CONG;Kg;4.90 А;100.00%
ABDEJO FILETE CONG piel;Kg;3.15 А;100.00%
ABDEJO FILETE CONG PREM;Kg;5.20 А;100.00%
aceite freidoras;kg;1.01 А;100.00%
aceite girasol;kg;1.04 А;100.00%
aceite oliva virgen extra;kg;3.81 А;100.00%
aceite oliva virgen extra;unidad;0.22 А;100.00%
aceite ove 0,4 Ї;kg;3.23 А;100.00%
aceitr de trufa;kg;3.60 А;100.00%
ACEITUNA NEGRA CON HUESO;kg;2.00 А;100.00%
ACEITUNA NEGRA SIN HUESO;kg;3.06 А;100.00%
ACEITUNA RELLENA;kg;2.34 А;100.00%
ACEITUNA VERDE CON HUESO;kg;1.85 А;100.00%
ACEITUNA VERDE SIN HUESO;kg;3.42 А;100.00%
acido de frutos;lt;8.53 А;100.00%
ACTIMEL;UNIDAD;0.26 А;100.00%
AGAR AGAR;kg;63.07 А;100.00%
agua 1/2 gas fuente alta;unid.;0.09 А;100.00%
agua 1/2 sin gas fuente alta;unid.;0.09 А;100.00%
agua apollinares 100cl;unid.;0.99 А;100.00%
agua cristal 75cl;unid.;0.17 А;100.00%
agua de azahar;lts.;5.04 А;100.00%
agua de rosas;lts.;28.80 А;100.00%
agua firgas 75cl. Gas;unid.;0.20 А;100.00%
agua pet 1.5 LT;unid.;0.30 А;100.00%
agua pet 50cl;unid.;0.17 А;100.00%
aguacate;kg;4.35 А;100.00%
agualts. Garrafa;lts.;0.13 А;100.00%
aguja de res;kg;6.53 А;100.00%
AJI;kg;10.71 А;100.00%
ajo deshidratado;kg;4.66 А;100.00%
AJON JOLI;kg;14.14 А;100.00%
ajos granel;kg;2.70 А;100.00%
ajos tiernos ;manj;2.00 А;100.00%
alaska neutro;kg;9.65 А;100.00%
ALBAHACA;MANOJO;0.70 А;100.00%
albaricoque ;kg;2.30 А;100.00%
ALBUMINA(HUEVO EN POLVO);kg;13.00 А;100.00%
alcachofa;kg;2.80 А;100.00%
alcachofa cong.;kg;2.81 А;100.00%
ALCAPARRA;kg;8.84 А;100.00%
alcegas;manj;0.30 А;100.00%
ALCOCHOFA CONSERVA;kg;2.35 А;100.00%
alemja japonica fresca;kg;11.00 А;100.00%
alfonsiсos fresco;kg;9.50 А;100.00%
ALJAGINATO SODICO;BOTE;23.10 А;100.00%
ALMEJAS CONG;Kg;2.50 А;100.00%
almejas finas fresca;kg;11.00 А;100.00%
ALMENDRA CRUDA C/P;kg;8.49 А;100.00%
ALMENDRA CRUDAS/P;kg;9.41 А;100.00%
almendra fileteada;kg;15.48 А;100.00%
ALMENDRA FRITA SALADA;kg;9.52 А;100.00%
ALMENDRA GRANO;kg;14.52 А;100.00%
almendra harina;kg;14.12 А;100.00%
ALMENDRA PALILLO;kg;10.42 А;100.00%
ALMENDRA TOSTADA CON PIEL ;kg;7.11 А;100.00%
ALMOGROTE;kg;14.26 А;100.00%
ALTRAMUCES/CHOCHOS;kg;3.15 А;100.00%
ALUBIA BLANCA;kg;1.90 А;100.00%
alubia cong.;kg;2.22 А;100.00%
ALUBIA DE TOLOSA;kg;15.98 А;100.00%
ALUBIA GRANDE;kg;2.58 А;100.00%
ALUBIA NEGRA;kg;1.54 А;100.00%
ALUBIA PINTA;kg;1.95 А;100.00%
ALUBIA ROJA;kg;1.78 А;100.00%
amapola azul;kg;2.26 А;100.00%
